,business_name,user_name,stars,weight
0,Chica,Melody,4,0
1,Chili's,Mayito,3,0
2,Q Bistro,Crystal,5,3
3,SUSHISAMBA - Las Vegas,Lulu,4,0
4,Eureka!,Theresa,4,0
7,SUSHISAMBA - Las Vegas,Juliet,4,0
8,Sammy's Beach Bar & Grill,Rodrigo,3,2
9,Hawthorn Grill,George,5,3
10,Battista's Hole In the Wall,Jhordan,3,7
11,Wolfgang Puck Bar & Grill Las Vegas,Alexandra,4,6
12,Eureka!,Tiara,5,0
13,Los Cucos Mexican Cafe,Elleyne,5,1
14,The Peppermill Restaurant & Fireside Lounge,JoAnn,4,0
16,Guy Fieri's Vegas Kitchen & Bar,Warren,3,3
18,Blue Ribbon Brasserie - Las  Vegas,Gia,5,5
19,Pressed For Juice,Ivan,5,4
20,Dick's Last Resort,Joseph,5,34
21,Wolfgang Puck Bar & Grill Las Vegas,Robert,4,0
22,Wolfgang Puck Bar & Grill Las Vegas,Carol,4,3
23,SUSHISAMBA - Las Vegas,Ray,5,2
24,Toby Keith's I Love This Bar & Grill,Crystal,2,0
25,Madhouse Coffee,Taylor,2,31
26,All-American Bar & Grille,Andrea,3,11
27,Hawthorn Grill,Kate,1,2
28,Eureka!,Andy,4,9
29,Eureka!,Jennifer,4,4
30,Madhouse Coffee,Michelle,4,65
31,Wolfgang Puck Bar & Grill Las Vegas,Jennifer,5,0
32,Tom's Urban,Geno,3,0
33,Lazy Dog Restaurant & Bar,Jamie,4,0
34,Wolfgang Puck Bar & Grill Las Vegas,Brian,5,1
35,Lazy Dog Restaurant & Bar,Hunter,3,1
36,Dick's Last Resort,Serena,2,4
37,SUSHISAMBA - Las Vegas,Daniel,4,91
38,Q Bistro,Karen,5,8
39,Eureka!,Carmel,5,2
40,Soho Sushi Burrito,Jenny,5,6
41,Fleming's Prime Steakhouse & Wine Bar - Las Vegas,Liang,5,0
42,The Peppermill Restaurant & Fireside Lounge,Nadine,4,98
43,Wolfgang Puck Bar & Grill Las Vegas,Janis,5,0
44,Wolfgang Puck Bar & Grill Las Vegas,Vanessa,5,2
45,Chica,Ana Maria,5,1
46,Juan's Flaming Fajitas & Cantina,Corabelle,5,34
47,The Peppermill Restaurant & Fireside Lounge,Jessica,4,0
48,Guy Fieri's Vegas Kitchen & Bar,Kaci,2,0
49,Blue Ribbon Brasserie - Las  Vegas,Bill,3,0
52,Lazy Dog Restaurant & Bar,Cynthia,5,1
53,Chica,Leila,5,3
55,SUSHISAMBA - Las Vegas,Nora,3,12
